"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 29 03:11:36 UTC 2024","Mon Jan 29 03:11:38 UTC 2024","1713","","12. Client Portal - Forms","","","","2. Check Form Page",""
"passed","Mon Jan 29 02:51:26 UTC 2024","Mon Jan 29 02:51:44 UTC 2024","18251","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Mon Jan 29 02:46:13 UTC 2024","Mon Jan 29 02:46:19 UTC 2024","6318","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","5. Complete Screen and tilts",""
"passed","Mon Jan 29 03:47:44 UTC 2024","Mon Jan 29 03:47:45 UTC 2024","1004","","20. Admin Portal - Check details","","","","6. Check Account Settings & History (Data Snapshots)",""
"passed","Mon Jan 29 02:51:44 UTC 2024","Mon Jan 29 02:51:53 UTC 2024","8576","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","2. Create a Trust Account",""
"passed","Mon Jan 29 03:24:29 UTC 2024","Mon Jan 29 03:24:40 UTC 2024","10621","","16. Nucleus Wealth Wordpress Site","","","","9. Visit Get Started",""
"passed","Mon Jan 29 03:42:19 UTC 2024","Mon Jan 29 03:42:32 UTC 2024","13599","","19. Look Up Investment Account","","","","1. Log in using manager login",""
"passed","Mon Jan 29 02:54:41 UTC 2024","Mon Jan 29 02:54:49 UTC 2024","7902","","6. Company Account","","","","2. Create a Company Account",""
"skipped","Mon Jan 29 04:21:59 UTC 2024","Mon Jan 29 04:21:59 UTC 2024","0","","23. Change Portfolio for Interactive Brokers","","","","4. Complete Risk Profile",""
"passed","Mon Jan 29 04:08:18 UTC 2024","Mon Jan 29 04:08:18 UTC 2024","22","","22. Individual Onboarding for Interactive Brokers","","","","3. Check SideNav",""
"passed","Mon Jan 29 02:33:26 UTC 2024","Mon Jan 29 02:33:44 UTC 2024","18459","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","12. Complete Applicants",""
"passed","Mon Jan 29 02:45:46 UTC 2024","Mon Jan 29 02:45:51 UTC 2024","5159","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Mon Jan 29 04:10:36 UTC 2024","Mon Jan 29 04:10:38 UTC 2024","1584","","22. Individual Onboarding for Interactive Brokers","","","","12. Check Final Review",""
"passed","Mon Jan 29 02:41:42 UTC 2024","Mon Jan 29 02:41:47 UTC 2024","5140","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Mon Jan 29 02:48:28 UTC 2024","Mon Jan 29 02:48:33 UTC 2024","4869","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","9. Complete Bank Details",""
"skipped","Mon Jan 29 04:21:59 UTC 2024","Mon Jan 29 04:21:59 UTC 2024","0","","23. Change Portfolio for Interactive Brokers","","","","6. Check Final Review",""
"passed","Mon Jan 29 03:17:47 UTC 2024","Mon Jan 29 03:18:11 UTC 2024","24117","","13. Client Portal - Change Portfolio","","","","4. Complete Build Your Portfolio",""
"passed","Mon Jan 29 02:48:36 UTC 2024","Mon Jan 29 02:49:30 UTC 2024","54027","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","12. Add another investor in Applicants",""
"passed","Mon Jan 29 02:54:49 UTC 2024","Mon Jan 29 02:54:54 UTC 2024","5114","","6. Company Account","","","","3. Complete Investment Choice",""
"passed","Mon Jan 29 03:06:29 UTC 2024","Mon Jan 29 03:06:55 UTC 2024","26442","","10. Client Portal - Account Dashboard","","","","4. Check Tactical Panel",""
"failed","Mon Jan 29 04:10:38 UTC 2024","Mon Jan 29 04:13:47 UTC 2024","188620","","22. Individual Onboarding for Interactive Brokers","","","","13. Limited Advice Path",""
"passed","Mon Jan 29 02:52:24 UTC 2024","Mon Jan 29 02:52:27 UTC 2024","2467","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Mon Jan 29 02:31:39 UTC 2024","Mon Jan 29 02:31:50 UTC 2024","10713","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","9. Navigate to Risk Profile",""
"passed","Mon Jan 29 02:54:24 UTC 2024","Mon Jan 29 02:54:41 UTC 2024","16621","","6. Company Account","","","","1. Validate login credentials",""
"passed","Mon Jan 29 03:49:23 UTC 2024","Mon Jan 29 03:49:43 UTC 2024","20175","","21. Forgot password function","","","","2. Reset password",""
"passed","Mon Jan 29 02:30:17 UTC 2024","Mon Jan 29 02:30:17 UTC 2024","28","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","2.Disclaimer Alert is present",""
"passed","Mon Jan 29 04:08:45 UTC 2024","Mon Jan 29 04:08:48 UTC 2024","3391","","22. Individual Onboarding for Interactive Brokers","","","","6. Complete Build Your Portfolio",""
"passed","Mon Jan 29 03:17:42 UTC 2024","Mon Jan 29 03:17:44 UTC 2024","2051","","13. Client Portal - Change Portfolio","","","","2. Direct user to “Investment Choice”",""
"passed","Mon Jan 29 02:43:21 UTC 2024","Mon Jan 29 02:43:23 UTC 2024","1778","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Mon Jan 29 04:08:48 UTC 2024","Mon Jan 29 04:08:51 UTC 2024","2633","","22. Individual Onboarding for Interactive Brokers","","","","7.Complete Screen and Tilts",""
"passed","Mon Jan 29 03:49:16 UTC 2024","Mon Jan 29 03:49:23 UTC 2024","7036","","21. Forgot password function","","","","1. Direct to forgot password page",""
"passed","Mon Jan 29 02:57:14 UTC 2024","Mon Jan 29 02:58:21 UTC 2024","67270","","8. Sign Up new user","","","","1. Create a new user",""
"passed","Mon Jan 29 03:47:12 UTC 2024","Mon Jan 29 03:47:26 UTC 2024","14289","","20. Admin Portal - Check details","","","","1. Log in using manager login",""
"passed","Mon Jan 29 03:06:59 UTC 2024","Mon Jan 29 03:07:11 UTC 2024","11567","","10. Client Portal - Account Dashboard","","","","7. Expand Portfolio",""
"passed","Mon Jan 29 03:28:26 UTC 2024","Mon Jan 29 03:28:42 UTC 2024","15545","","18. Check Admin header","","","","1. Log in using manager login",""
"passed","Mon Jan 29 03:23:45 UTC 2024","Mon Jan 29 03:23:59 UTC 2024","14008","","16. Nucleus Wealth Wordpress Site","","","","1. Visit Production Site",""
"passed","Mon Jan 29 03:47:26 UTC 2024","Mon Jan 29 03:47:32 UTC 2024","6254","","20. Admin Portal - Check details","","","","2. Account ID 445 detail page",""
